グラフ中のタイトルをsに設定する	plt.title(s)
xとx2の両方をnに設定する	x = x2 = n
日時dtの時間数	dt.hour
sの中からパターンpatternに大文字・小文字を無視してマッチする文字列を探す	re.search(pattern, s, flags=re.IGNORECASE)
空列	[]
データ列ds中にある文字列valueと文字列value2の合計を数える	ds.isin([value, value2]).sum()
要素ひとつのりスト	[element]
ミディアムシアグリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='mediumseagreen')
eのx乗	math.exp(x)
ファイルfilenameをEUCでオープンする]	open(filename, encoding='euc_jp')
日時dtををn分後に進める	dt + datetime.timedelta(minutes=n)
リストxdataとリストydataについてミディアムパープル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumpurple')
折れ線グラフの色をゴールデンロッドに設定する	plt.plot(xdata, ydata, color='goldenrod')
リストxdataとリストydataについて破線グラフを描画して、その色をパールバイオレットレッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='palevioletred')
マゼンタ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='magenta')
nが負の数か調べる	n < 0
データフレームdfのカラムcolを配列として抽出する	df[col].values
耐火レンガ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='firebrick', alpha=0.5)
タプルatupleの先頭のn要素を取り除く	atuple[n:]
折れ線グラフの色をハリウッドに設定する	plt.plot(xdata, ydata, color='burlywood')
リストxdataとリストydataについて散布図を描画して、マーカーの色をミントクリームに設定する	plt.plot(xdata, ydata, c='mintcream')
リストxdataとリストydataについてブラック色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='black')
nとn2のコンビネーション	math.comb(n, n2)
リストxdataとリストydataについての散布図をライトコーラル色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightcoral', alpha=0.5)
散布図にレベッカパープル色のマーカーを使う	plt.plot(xdata, ydata, c='rebeccapurple')
折れ線グラフの色をインディアンレッドに設定する	plt.plot(xdata, ydata, color='indianred')
データフレームdfのn行までを抽出する	df[:n]
シエナ色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='sienna')
リストxdataとリストydataについての散布図をオールドレース色で描画する	plt.plot(xdata, ydata, c='oldlace')
ダークオレンジ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkorange')
ライトイエロー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightyellow')
ライトグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightseagreen')
リストxdataとリストydataについて破線グラフを描画して、その色をライトスチールブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightsteelblue')
keyが辞書adict上で定義済みか調べる	key in adict
サドルブラウン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='saddlebrown')
データフレームdfをインデックスによって降順でソートする	df.sort_index(ascending=False)
ミントクリーム色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='mintcream')
ダークレッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkred')
オリベドラブ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='olivedrab')
データフレームdfの第三四分位数	df.quantile(0.75)
耐火レンガ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='firebrick')
ユーザの入力を読み取る	input()
データフレームdfのカラム一覧	df.info()
リストxdataとリストydataについて散布図を描画して、マーカーの色をスカイブルーに設定する	plt.plot(xdata, ydata, c='skyblue')
散布図にパウダーブルー色のマーカーを使う	plt.plot(xdata, ydata, c='powderblue')
折れ線グラフの色をハニーデューに設定する	plt.plot(xdata, ydata, color='honeydew')
リストxdataとリストydataについての散布図をローングリーン色で描画する	plt.plot(xdata, ydata, c='lawngreen')
整数nを八進文字列に変換する	oct(n)[2:]
ライム色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lime')
レベッカパープル色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='rebeccapurple')
ミディアムシアグリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='mediumseagreen')
リストxdataとリストydataについて折れ線グラフを描画して、その色をミディアムシアグリーンに設定する	plt.plot(xdata, ydata, color='mediumseagreen')
線幅nの実線グラフを描画する	plt.plot(xdata, ydata, linestyle='solid', linewidth=n)
データ列dsの欠損値を最小値で埋める	ds.fillna(ds.min())
xの逆正接	math.atan(x)
sの先頭でパターンpatternに複数行対応としてマッチするか見る	re.match(pattern, s, flags=re.MULTILINE)
紺碧色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='azure')
リストxdataとリストydataについての散布図をアリスブルー色で描画する	plt.plot(xdata, ydata, c='aliceblue')
折れ線グラフの色をミディアムパープルに設定する	plt.plot(xdata, ydata, color='mediumpurple')
グラフの背景色を暗くする	sns.set(style='darkgrid')
JSONL形式のファイルからデータフレームを読み込む	pd.read_json(filename, orient='records', lines=True)
散布図にゴーストホワイト色のマーカーを使う	plt.plot(xdata, ydata, c='ghostwhite')
リストxdataとリストydataについて破線グラフを描画して、その色をゴーストホワイトに設定する	plt.plot(xdata, ydata, linestyle='dash', color='ghostwhite')
散布図にライトグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='lightseagreen')
ファイルfilenameをsの示すエンコーディングでオープンする]	open(filename, encoding=s)
データフレームdfの欠損値を直前の値で埋める	df.fillna(method='ffill')
ダークレッド色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkred')
リストxdataとリストydataについて破線グラフを描画して、その色をカーキに設定する	plt.plot(xdata, ydata, linestyle='dash', color='khaki')
ヒストグラムの透明度をxに設定する	plt.hist(xdata, alpha=x)
スプリンググリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='springgreen', alpha=0.5)
データフレームdf中のカラムcolをビン分割する	pd.cut(df[col], alist)
リストxdataとリストydataについて破線グラフを描画して、その色をオリベドラブに設定する	plt.plot(xdata, ydata, linestyle='dash', color='olivedrab')
nの各桁の総和	sum(map(int, str(n)))
散布図に赤いポイントマーカーを使う	plt.plot(xdata, ydata, marker='.', c='r')
リストxdataとリストydataについてアイボリー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='ivory')
arrayを等間隔でn個にビン分割する	pd.cut(array, n)
紺碧色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='azure')
日時dtが金曜日か調べる	dt.weekday() == 4
整数nの二進表現	bin(n)
折れ線グラフの色をブラウンに設定する	plt.plot(xdata, ydata, color='brown')
リストxdataとリストydataについての散布図をホットピンク色で描画する	plt.plot(xdata, ydata, c='hotpink')
グラフ中に枠なしの凡例を入れる	plt.legend(frameon=False)
リストxdataとリストydataについて破線グラフを描画して、その色をライトゴールドロディイエローに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightgoldenrodyellow')
xをx2で整数除算する	x // x2
データフレームdfをリストalistで指定されたカラムによって昇順にソートして、更新する	df.sort_values(by=alist, ascending=True, inplace=True)
s中のパターンpatternによる全てのマッチを使う	re.findall(pattern, s)
sの全角数字を半角数字に変換する	s.translate(str.maketrans('０１２３４５６７８９', '0123456789'))
n2行n列の二次元リスト	[[0] * n for _ in range(n2)]
ダークオーキッド色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkorchid', alpha=0.5)
データ列dsが正規分布からどの程度、尖っているか見る	ds.skew()
折れ線グラフの色をオールドレースに設定する	plt.plot(xdata, ydata, color='oldlace')
それぞれnとn2をxとx2に代入する	x, x2 = n, n2
ターコイズ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='turquoise')
f全体を行単位で分割して読み込む	f.readlines()
データフレームdfのリストalistカラムの欠損値を中央値で埋める	df[alist].fillna(df[alist].median())
破線グラフの色をスラグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='slategray')
オプションで、昇順にする	ascending = True
日時dtををn年後に進める	dt + datetime.timedelta(years=n)
折れ線グラフの三角マーカーを青くする	plt.plot(xdata, ydata, marker='^', markerfacecolor='b')
オプションで、エンコーディングをEUCに設定する	encoding = 'euc_jp'
データフレームdfから型tyのカラムを抽出する	df.select_dtypes(ty)
TSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t')
データフレームdfのカラムcol中にある文字列valueの合計を数える	df[col].isin([value]).sum()
データフレームdfを10の位で丸めて、整数型にする	df.round(-1).astype(int)
二進sをバイト列に変換する	int(s, 2).to_bytes(length=2, byteorder='big')
sの右側からs2を取り除く	s.rstrip(s2)
ファイルfilenameを絶対パスに変換する	os.path.abspath(filename)
散布図にロイヤルブルー色のマーカーを使う	plt.plot(xdata, ydata, c='royalblue')
sをs2で区切る	s.split(s2)
現在の作業ディレクトリ	os.getcwd()
リストxdataとリストydataの折れ線グラフを描画して、マーカーを左三角に設定する	plt.plot(xdata, ydata, marker='<')
折れ線グラフの色を耐火レンガに設定する	plt.plot(xdata, ydata, color='firebrick')
デックdeq中の文字列elementの数を数える	deq.count(element)
リストxdataとリストydataについて散布図を描画して、マーカーの色をピンクに設定する	plt.plot(xdata, ydata, c='pink')
散布図にダークグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='darkgreen')
リストxdataとリストydataについて折れ線グラフを描画して、その色をローングリーンに設定する	plt.plot(xdata, ydata, color='lawngreen')
リストxdataとリストydataについての散布図をカーキ色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='khaki', alpha=0.5)
リストxdataとリストydataについて破線グラフを描画して、その色をゴールドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='gold')
オブジェクトobjの参照カウントを知る	sys.getrefcount(obj)-1
データ列dsの欠損値を直前の値で埋める	ds.fillna(method='ffill')
リストxdataとリストydataについての散布図をバイオレット色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='violet', alpha=0.5)
リストxdataとリストydataについて破線グラフを描画して、その色をハニーデューに設定する	plt.plot(xdata, ydata, linestyle='dash', color='honeydew')
ライトサーモン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='lightsalmon')
文字列elementがセットasetのメンバーか調べる	element in aset
リストiterableから両端キューを新しく作る	collections.deque(iterable)
xの逆双曲線正接	math.atanh(x)
xが整数か調べる	x.is_integer()
折れ線グラフの色をダークオーキッドに設定する	plt.plot(xdata, ydata, color='darkorchid')
実線グラフの色を青にする	plt.plot(xdata, ydata, linestyle='solid', color='b')
x,x2,x3をそれぞれn,n2,n3とする	x, x2, x3 = n, n2, n3
折れ線グラフの色をチョコレートに設定する	plt.plot(xdata, ydata, color='chocolate')
ユーザから入力される	input()
リストxdataとリストydataの折れ線グラフに、線幅nの左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', markeredgewidth=n)
折れ線グラフのポイントマーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='.', markeredgewidth=n)
リストxdataとリストydataについての散布図を淡いピンク色色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightpink', alpha=0.5)
プラットフォームの符号付きの最大整数値	sys.maxsize
ハニーデュー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='honeydew', alpha=0.5)
セットaset∩セットaset2	aset.intersection(aset2)
散布図にディムグレー色のマーカーを使う	plt.plot(xdata, ydata, c='dimgrey')
オブジェクトobjのクラス	type(obj)
データフレームdfのカラムcolとカラムcol2の相関行列をヒートマップで描画する	sns.heatmap(df[[col, col2]].corr())
折れ線グラフの色をシアンに設定する	plt.plot(xdata, ydata, color='cyan')
リストxdataとリストydataについて破線グラフを描画して、その色をライトグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightseagreen')
ファイルfilenameをオープンして]、追加ストリームを使う	open(filename, mode='a')
zが無限大に近づくときのeの極限値を求める	sympy.limit(e, z, oo)
標準出力を使う	sys.stdout
リストxdataとリストydataについての散布図をベージュ色で描画する	plt.plot(xdata, ydata, c='beige')
arrayを四分位数ごとにビン分割する	pd.qcut(array, 4)
Pandasで、フォーマットでデータ列dsを日付データに変換する	pd.to_datetime(ds, format='%Y-%m-%d')
ディムグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='dimgrey')
sのの中で大文字・小文字を無視したパターンpatternにマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.IGNORECASE)
リストxdataとリストydataについて破線グラフを描画して、その色をスラグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='slategray')
リストxdataとリストydataについて折れ線グラフを描画して、その色をアクアマリンに設定する	plt.plot(xdata, ydata, color='aquamarine')
折れ線グラフの色をパウダーブルーに設定する	plt.plot(xdata, ydata, color='powderblue')
リストxdataとリストydataについて青色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='blue')
データフレームを表示するとき、n行までデータフレームを表示できるようにする	pd.set_option('display.max_rows', n)
データフレームdfをリストalistで指定されたカラムによってソートして、NaNを先頭にする	df.sort_values(by=alist, na_position='first')
辞書adictをソートしてJSON形式の文字列に変換する	json.dumps(adict, ensure_ascii=False, sort_keys=True)
グリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='green')
タプルatuple内の要素が少なくともひとつ真か調べる	any(atuple)
リストxdataとリストydataについての散布図をパールゴールデンロッド色で描画する	plt.plot(xdata, ydata, c='palegoldenrod')
リストxdataとリストydataについて折れ線グラフを描画して、その色をミディアムターコイズに設定する	plt.plot(xdata, ydata, color='mediumturquoise')
リストxdataとリストydataについて散布図を描画して、sという凡例用のラベルを付ける	plt.scatter(xdata, xdata, label=s)
リストxdataとリストydataについての散布図をシアン色で描画する	plt.plot(xdata, ydata, c='cyan')
リストxdataとリストydataについての散布図を赤色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='red', alpha=0.5)
データフレームdfのリストalistカラムの第三四分位数	df[alist].quantile(0.75)
破線グラフの色をオレンジレッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='orangered')
リストxdataとリストydataの折れ線グラフに、大きさnの左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', markersize=n)
データフレームdfのカラムcolをインデックスに設定する	df.set_index(col)
リストxdataとリストydataについての散布図に赤い下三角マーカーを描画する	plt.plot(xdata, ydata, marker='v', c='r')
折れ線グラフの丸マーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='o', markeredgewidth=n)
日時dtからn月分、減算する	dt - datetime.timedelta(months=n)
リストxdataとリストydataについて散布図を描画して、マーカーの色をラベンダーに設定する	plt.plot(xdata, ydata, c='lavender')
セットasetがセットaset2の真部分集合か調べる	aset < aset2
xを論理値に変換する	bool(x)
オプションで、改行しないように設定する	end = ''
データフレームdfのカラムcolがsで終わらない行を抽出する	df[not df[col].str.endswith(s)]
リストxdataとリストydataの折れ線グラフに、赤い四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', markerfacecolor='r')
nとn2の排他的論理和	n ^ n2
日付adateが金曜日か調べる	adate.weekday() == 4
リストxdataとリストydataについて散布図を描画して、マーカーの色をシアンに設定する	plt.plot(xdata, ydata, c='cyan')
リストxdataとリストydataの黄色い折れ線グラフを描画する	plt.plot(xdata, ydata, color='y')
数式として、zの平方根を求める	sympy.sqrt(z)
0から始まる無限数列	itertools.count()
点線グラフを描画する	plt.plot(xdata, ydata, linestyle='dotted')
ダークグレー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkgray')
折れ線グラフの色をペルーに設定する	plt.plot(xdata, ydata, color='peru')
カラーコードrgbのバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c=rgb)
データフレームdfとデータフレームdf2を横方向にマージする	pd.merge(df, df2)
s中の大文字・小文字を無視したパターンpatternによる全てのマッチを使う	re.findall(pattern, s, flags=re.IGNORECASE)
リストxdataとリストydataについて破線グラフを描画して、その色をナバホホワイトに設定する	plt.plot(xdata, ydata, linestyle='dash', color='navajowhite')
折れ線グラフの色をローングリーンに設定する	plt.plot(xdata, ydata, color='lawngreen')
ダークシアン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkcyan')
折れ線グラフの色をブラックに設定する	plt.plot(xdata, ydata, color='black')
データフレームdfのカラムcolのユニークな値の個数	df[col].nunique()
リストxdataとリストydataについて折れ線グラフを描画して、その色をベージュに設定する	plt.plot(xdata, ydata, color='beige')
sをシアンで表示する	print(f'\033[36m{s}\033[0m')
x2に対するxの対数	math.log(x, x2)
データフレームdfの欠損値を平均値に設定する	df.fillna(df.mean())
リストxdataをダークオレンジ色のヒストグラムで描画する	plt.hist(xdata, color='darkorange')
データ列dsの日	ds.dt.day
リストxdataとリストydataについての散布図をダークマゼンタ色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkmagenta', alpha=0.5)
リストxdataとリストydataについて破線グラフを描画して、その色をタンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='tan')
リストxdataとリストydataについて折れ線グラフを描画して、その色をフローラルホワイトに設定する	plt.plot(xdata, ydata, color='floralwhite')
x,x2,x3にそれぞれn,n2,n3を代入する	x, x2, x3 = n, n2, n3
セットasetをリストに変換する	list(aset)
レモンシフォン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='lemonchiffon')
ダークスラテグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkslategray')
日時dtをn日前に戻す	dt - datetime.timedelta(days=n)
折れ線グラフの色を小麦に設定する	plt.plot(xdata, ydata, color='wheat')
淡いピンク色色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lightpink')
折れ線グラフに右三角マーカーを使う	plt.plot(xdata, ydata, marker='>')
リストxdataとリストydataについての散布図に赤い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', c='r')
リストxdataとリストydataについての散布図をダークマゼンタ色で描画する	plt.plot(xdata, ydata, c='darkmagenta')
リストxdataとリストydataについてライトシアン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightcyan')
空の集合	set()
リストxdataとリストydataについて折れ線グラフを描画して、その色をミディアムアクアマリンに設定する	plt.plot(xdata, ydata, color='mediumaquamarine')
リストxdataとリストydataについてイエローグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='yellowgreen')
リストxdataとリストydataについてネイビー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='navy')
散布図に黒いポイントマーカーを使う	plt.plot(xdata, ydata, marker='.', c='k')
セットasetが空か調べる	len(aset) == 0
ラベンダーブラッシュ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='lavenderblush')
リストxdataとリストydataについて散布図を描画して、マーカーの色をシーグリーンに設定する	plt.plot(xdata, ydata, c='seagreen')
リストxdataとリストydataについての散布図をスラグレー色で描画する	plt.plot(xdata, ydata, c='slategray')
全てのアルファベット	string.ascii_letters
リストxdataをダークオーキッド色のヒストグラムで描画する	plt.hist(xdata, color='darkorchid')
リストxdataをゴールデンロッド色のヒストグラムで描画する	plt.hist(xdata, color='goldenrod')
リストxdataとリストydataの破線グラフを描画して、その色を黒にする	plt.plot(xdata, ydata, linestyle='dashed', color='k')
フローラルホワイト色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='floralwhite')
データフレームdfのリストalistカラムの欠損値を直後の値に設定する	df[alist].fillna(method='bfill')
紺碧色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='azure')
n年を日付に変換する	datetime.date(year=n, month=1, day=1)
ライム色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lime')
アクアマリン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='aquamarine')
TSVファイルfilenameからデータフレームを読み込む	pd.read_csv(filename, sep='\t')
破線グラフの色をシャルトルーズに設定する	plt.plot(xdata, ydata, linestyle='dash', color='chartreuse')
データフレームdfのカラムcolが正規分布からどの程度、歪んでいるか見る	df[col].kurt()
グラフ中に凡例を(x,x2)の位置に入れる	plt.legend(loc=(x, x2))
折れ線グラフの下三角マーカーを黄色くする	plt.plot(xdata, ydata, marker='v', markerfacecolor='y')
リストxdataとリストydataについてオリベドラブ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='olivedrab')
リストxdataとリストydataについての散布図をフローラルホワイト色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='floralwhite', alpha=0.5)
arrayをリストalistを境界値としてビン分割する	pd.cut(array, alist)
サドルブラウン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='saddlebrown')
黄色色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='yellow')
ゲインズボロ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='gainsboro')
データフレームdfのリストalistカラムの最頻値の出現回数	df[alist].freq()
リストxdataとリストydataについてドジャーブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='dodgerblue')
淡いピンク色色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightpink', alpha=0.5)
タプルatupleのn番目以降の部分を取り出す	atuple[n:]
ダークゴールデンロッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkgoldenrod')
リストxdataとリストydataについて破線グラフを描画して、その色を黄色に設定する	plt.plot(xdata, ydata, linestyle='dash', color='yellow')
破線グラフの色をバイオレットに設定する	plt.plot(xdata, ydata, linestyle='dash', color='violet')
n個のものからn2個取り出したときの並べ方の総数	math.perm(n, n2)
破線グラフの色を赤にする	plt.plot(xdata, ydata, linestyle='dashed', color='r')
リストxdataとリストydataについて折れ線グラフを描画して、その色をアクアに設定する	plt.plot(xdata, ydata, color='aqua')
xの双曲線余弦	math.cosh(x)
データフレームdfをカラムcolによって昇順に破壊的にソートする	df.sort_values(by=col, ascending=True, inplace=True)
nかつn2	n and n2
散布図にロージーブラウン色のマーカーを使う	plt.plot(xdata, ydata, c='rosybrown')
リストxdataをパールゴールデンロッド色のヒストグラムで描画する	plt.hist(xdata, color='palegoldenrod')
破線グラフの色をスノーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='snow')
xとx2の両方ともnとする	x = x2 = n
破線グラフの色をライトゴールドロディイエローに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightgoldenrodyellow')
散布図にライトコーラル色のマーカーを使う	plt.plot(xdata, ydata, c='lightcoral')
データフレームdfのリストalistカラムのどの値が頻出か見る	df[alist].mode()
データフレームdfの先頭n行	df.head(n)
ビスク色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='bisque')
日時dtの曜日を整数で使う	dt.weekday()
リストxdataをシアン色のヒストグラムで描画する	plt.hist(xdata, color='cyan')
サイコロと同じ乱数を生成する	random.randint(1, 6)
データ列dsのn分位数	ds.quantile(n/100)
小麦色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='wheat')
データフレームdfのカラムcolがxより小さい行を抽出する	df[df[col] < x]
リストxdataとリストydataについての散布図をプラム色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='plum', alpha=0.5)
日付adateが何曜日か知る	adate.weekday()
リストxdataとリストydataについてアクアマリン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='aquamarine')
sの先頭	s[0]
散布図にゴールド色のマーカーを使う	plt.plot(xdata, ydata, c='gold')
sのnからn2までの範囲でs2をカウントする	s.count(s2, start=n, end=n2)
リストxdataとリストydataの折れ線グラフに、緑色の左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', markerfacecolor='g')
nからn2の値を引いてnに代入する	n -= n2
リストalistに文字列elementを追加する	alist.append(element)
ディープスカイブルー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='deepskyblue')
ダークグリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkgreen')
リストxdataとリストydataについて破線グラフを描画して、その色をダークスレートブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkslateblue')
スラグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='slategray')
リストxdataとリストydataについて折れ線グラフを描画して、その色をオリーブに設定する	plt.plot(xdata, ydata, color='olive')
散布図にグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='green')
データフレームdfをカラムcol毎にグループ化して、関数適用した値を求める	df.groupby(col).agg(func)
リストxdataとリストydataの折れ線グラフを描画して、透明度をxに設定する	plt.plot(xdata, ydata, alpha=x)
リストxdataとリストydataについて折れ線グラフを描画して、その色をハニーデューに設定する	plt.plot(xdata, ydata, color='honeydew')
破線グラフの色をスレートブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='slateblue')
折れ線グラフの色をダークグレーに設定する	plt.plot(xdata, ydata, color='darkgray')
sを空白で区切る	s.split()
セットasetにリストiterableを追加更新する	aset.update(iterable)
n進sをバイト列に変換する	int(s, n2).to_bytes(length=n2, byteorder='big')
オプションで、ヘッダをnamesに設定する	header = names
データフレームdfの重複した行をマスクする	df.duplicated()
